locus_tag	ftype	length_bp	gene	EC_number	COG	product
COOAFFBM_00907	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
COOAFFBM_00908	CDS	2136	yrfF			Putative membrane protein IgaA 
COOAFFBM_00909	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
COOAFFBM_00910	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
COOAFFBM_00911	CDS	780				hypothetical protein
COOAFFBM_00912	CDS	540				hypothetical protein
COOAFFBM_00913	CDS	441				hypothetical protein
COOAFFBM_00914	CDS	405				hypothetical protein
COOAFFBM_00915	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
COOAFFBM_00916	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
COOAFFBM_00917	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
COOAFFBM_00918	CDS	1287	damX		COG3266	Cell division protein DamX
COOAFFBM_00919	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
COOAFFBM_00920	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
COOAFFBM_00921	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
COOAFFBM_00922	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
COOAFFBM_00923	CDS	906				hypothetical protein
COOAFFBM_00924	CDS	363				hypothetical protein
COOAFFBM_00925	CDS	1164	yhfX		COG3457	putative protein YhfX
COOAFFBM_00926	CDS	1227	deoB_2	5.4.2.7	COG1015	Phosphopentomutase
COOAFFBM_00927	CDS	879	php_1		COG1735	Phosphotriesterase homology protein
COOAFFBM_00928	CDS	354				hypothetical protein
COOAFFBM_00929	CDS	1305				hypothetical protein
COOAFFBM_00930	CDS	1086	yhfS			putative protein YhfS
COOAFFBM_00931	CDS	732	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
COOAFFBM_00932	CDS	786	frlD	2.7.1.218	COG0524	Fructoselysine 6-kinase
COOAFFBM_00933	CDS	831	frlC	5.1.3.41	COG1082	Fructoselysine 3-epimerase
COOAFFBM_00934	CDS	1023	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
COOAFFBM_00935	CDS	1338	frlA		COG0531	putative fructoselysine/psicoselysine transporter FrlA
COOAFFBM_00936	CDS	168				hypothetical protein
COOAFFBM_00937	CDS	1374	cysG		COG0007	Siroheme synthase
COOAFFBM_00938	CDS	807	nirC		COG2116	Nitrite transporter NirC
COOAFFBM_00939	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
COOAFFBM_00940	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
COOAFFBM_00941	CDS	1182	tsgA		COG0477	Protein TsgA
COOAFFBM_00942	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
COOAFFBM_00943	CDS	168	yhfG			putative protein YhfG
COOAFFBM_00944	CDS	603	fic_1	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
COOAFFBM_00945	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
COOAFFBM_00946	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
COOAFFBM_00947	CDS	2091				hypothetical protein
COOAFFBM_00948	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
COOAFFBM_00949	CDS	405	yhfA		COG1765	Protein YhfA
COOAFFBM_00950	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
COOAFFBM_00951	CDS	219				hypothetical protein
COOAFFBM_00952	CDS	1023				hypothetical protein
COOAFFBM_00953	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
COOAFFBM_00954	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
COOAFFBM_00955	CDS	1806	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
COOAFFBM_00956	CDS	201				hypothetical protein
COOAFFBM_00957	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
COOAFFBM_00958	CDS	219	slyX		COG2900	Protein SlyX 
COOAFFBM_00959	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
COOAFFBM_00960	CDS	723	dauR		COG2964	Transcriptional regulator DauR
COOAFFBM_00961	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
COOAFFBM_00962	CDS	360	tusC		COG2923	Protein TusC
COOAFFBM_00963	CDS	288	tusB		COG2168	Protein TusB
COOAFFBM_00964	CDS	375	rpsL		COG0048	30S ribosomal protein S12
COOAFFBM_00965	CDS	471	rpsG		COG0049	30S ribosomal protein S7
COOAFFBM_00966	CDS	2115	fusA		COG0480	Elongation factor G
COOAFFBM_00967	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
COOAFFBM_00968	CDS	1257	xapB			Xanthosine permease
COOAFFBM_00969	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
COOAFFBM_00970	CDS	765				hypothetical protein
COOAFFBM_00971	CDS	927	cynR_2			HTH-type transcriptional regulator CynR
COOAFFBM_00972	CDS	999				hypothetical protein
COOAFFBM_00973	CDS	219				hypothetical protein
COOAFFBM_00974	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
COOAFFBM_00975	CDS	987	zipA		COG3115	Cell division protein ZipA
COOAFFBM_00976	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
COOAFFBM_00977	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
COOAFFBM_00978	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
COOAFFBM_00979	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
COOAFFBM_00980	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
COOAFFBM_00981	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
COOAFFBM_00982	CDS	369				hypothetical protein
COOAFFBM_00983	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
COOAFFBM_00984	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
COOAFFBM_00985	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
COOAFFBM_00986	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
COOAFFBM_00987	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
COOAFFBM_00988	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
COOAFFBM_00989	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
COOAFFBM_00990	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
COOAFFBM_00991	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
COOAFFBM_00992	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
COOAFFBM_00993	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
COOAFFBM_00994	CDS	576	yfeY			putative protein YfeY
COOAFFBM_00995	CDS	450	yfeZ			Inner membrane protein YfeZ
COOAFFBM_00996	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
COOAFFBM_00997	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
COOAFFBM_00998	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
COOAFFBM_00999	CDS	1053				hypothetical protein
COOAFFBM_01000	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
COOAFFBM_01001	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
COOAFFBM_01002	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
COOAFFBM_01003	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
COOAFFBM_01004	CDS	1404				hypothetical protein
COOAFFBM_01005	CDS	1227				hypothetical protein
COOAFFBM_01006	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
COOAFFBM_01007	CDS	837	ftsA_2			Cell division protein FtsA
COOAFFBM_01008	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
COOAFFBM_01009	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
COOAFFBM_01010	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
COOAFFBM_01011	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
COOAFFBM_01012	CDS	804				hypothetical protein
COOAFFBM_01013	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
COOAFFBM_01014	CDS	480	pduV_1		COG4917	Propanediol utilization protein PduV
COOAFFBM_01015	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
COOAFFBM_01016	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
COOAFFBM_01017	CDS	951	tal_2	2.2.1.2		Transaldolase
COOAFFBM_01018	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
COOAFFBM_01019	CDS	1044				hypothetical protein
COOAFFBM_01020	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
COOAFFBM_01021	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
COOAFFBM_01022	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
COOAFFBM_01023	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
COOAFFBM_01024	CDS	357	yffB		COG1393	Protein YffB
COOAFFBM_01025	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
COOAFFBM_01026	CDS	201				hypothetical protein
COOAFFBM_01027	CDS	699				hypothetical protein
COOAFFBM_01028	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
COOAFFBM_01029	CDS	864			COG2321	putative protein
COOAFFBM_01030	CDS	399	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
COOAFFBM_01031	CDS	267	vapB		COG4456	Antitoxin VapB
COOAFFBM_01032	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
COOAFFBM_01033	CDS	231				hypothetical protein
COOAFFBM_01034	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
COOAFFBM_01035	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
COOAFFBM_01036	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
COOAFFBM_01037	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
COOAFFBM_01038	CDS	618	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
COOAFFBM_01039	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
COOAFFBM_01040	CDS	759	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
COOAFFBM_01041	CDS	456				hypothetical protein
COOAFFBM_01042	CDS	987	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
COOAFFBM_01043	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
COOAFFBM_01044	CDS	1566	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
COOAFFBM_01045	CDS	1716	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
COOAFFBM_01046	CDS	540	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
COOAFFBM_01047	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
COOAFFBM_01048	CDS	414				hypothetical protein
COOAFFBM_01049	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
COOAFFBM_01050	CDS	732	focB		COG2116	putative formate transporter 2
COOAFFBM_01051	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
COOAFFBM_01052	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
COOAFFBM_01053	CDS	360	yfgD		COG1393	putative protein YfgD
COOAFFBM_01054	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
COOAFFBM_01055	CDS	1290	uraA		COG2233	Uracil permease
COOAFFBM_01056	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
COOAFFBM_01057	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
COOAFFBM_01058	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
COOAFFBM_01059	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
COOAFFBM_01060	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
COOAFFBM_01061	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
COOAFFBM_01062	CDS	153				hypothetical protein
COOAFFBM_01063	CDS	174	yfgG			Protein YfgG
COOAFFBM_01064	CDS	516				hypothetical protein
COOAFFBM_01065	CDS	540				hypothetical protein
COOAFFBM_01066	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
COOAFFBM_01067	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
COOAFFBM_01068	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
COOAFFBM_01069	CDS	216	yfgJ			putative protein YfgJ
COOAFFBM_01070	CDS	1473	der		COG1160	GTPase Der
COOAFFBM_01071	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
COOAFFBM_01072	CDS	621				hypothetical protein
COOAFFBM_01073	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
COOAFFBM_01074	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
COOAFFBM_01075	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
COOAFFBM_01076	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
COOAFFBM_01077	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
COOAFFBM_01078	CDS	2313	pbpC		COG4953	Penicillin-binding protein 1C
COOAFFBM_01079	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
COOAFFBM_01080	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
COOAFFBM_01081	CDS	777				hypothetical protein
COOAFFBM_01082	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
COOAFFBM_01083	CDS	201	iscX		COG2975	Protein IscX
COOAFFBM_01084	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
COOAFFBM_01085	CDS	1851	hscA		COG0443	Chaperone protein HscA
COOAFFBM_01086	CDS	516	hscB		COG1076	Co-chaperone protein HscB
COOAFFBM_01087	CDS	324	iscA		COG0316	Iron-binding protein IscA
COOAFFBM_01088	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
COOAFFBM_01089	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
COOAFFBM_01090	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
COOAFFBM_01091	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
COOAFFBM_01092	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
COOAFFBM_01093	CDS	855			COG1073	putative protein
COOAFFBM_01094	CDS	1281				hypothetical protein
COOAFFBM_01095	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
COOAFFBM_01096	CDS	891	hcaR_2			Hca operon transcriptional activator HcaR
COOAFFBM_01097	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
COOAFFBM_01098	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
COOAFFBM_01099	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
COOAFFBM_01100	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
COOAFFBM_01101	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
COOAFFBM_01102	CDS	423	yphA		COG2259	Inner membrane protein YphA
COOAFFBM_01103	CDS	873	yphB_1		COG2017	putative protein YphB
COOAFFBM_01104	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
COOAFFBM_01105	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
COOAFFBM_01106	CDS	1512	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
COOAFFBM_01107	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
COOAFFBM_01108	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
COOAFFBM_01109	CDS	1194	mlc_1		COG1940	Protein mlc
COOAFFBM_01110	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
COOAFFBM_01111	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
COOAFFBM_01112	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
COOAFFBM_01113	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
COOAFFBM_01114	CDS	714	qseG			Quorum-sensing regulator protein G
COOAFFBM_01115	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
COOAFFBM_01116	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
COOAFFBM_01117	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
COOAFFBM_01118	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
COOAFFBM_01119	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
COOAFFBM_01120	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
COOAFFBM_01121	CDS	261	yfhL		COG1145	Ferredoxin YfhL
COOAFFBM_01122	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
COOAFFBM_01123	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
COOAFFBM_01124	CDS	729	recO		COG1381	DNA repair protein RecO
COOAFFBM_01125	CDS	906	era_1		COG1159	GTPase Era
COOAFFBM_01126	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
COOAFFBM_01127	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
COOAFFBM_01128	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
COOAFFBM_01129	CDS	480	rseC		COG3086	Protein RseC
COOAFFBM_01130	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
COOAFFBM_01131	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
COOAFFBM_01132	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
COOAFFBM_01133	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
COOAFFBM_01134	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
COOAFFBM_01135	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
COOAFFBM_01136	CDS	882	cmpR			HTH-type transcriptional activator CmpR
COOAFFBM_01137	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
COOAFFBM_01138	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
COOAFFBM_01139	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
COOAFFBM_01140	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
COOAFFBM_01141	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
COOAFFBM_01142	CDS	699				hypothetical protein
COOAFFBM_01143	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
COOAFFBM_01144	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
COOAFFBM_01145	CDS	273				hypothetical protein
COOAFFBM_01146	CDS	1299	kgtP			Alpha-ketoglutarate permease
COOAFFBM_01147	CDS	144				hypothetical protein
COOAFFBM_01148	CDS	195				hypothetical protein
COOAFFBM_01149	CDS	363	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
COOAFFBM_01150	CDS	294	ybcO_1	3.1.-.-		Putative nuclease YbcO
COOAFFBM_01151	CDS	411				hypothetical protein
COOAFFBM_01152	CDS	672				hypothetical protein
COOAFFBM_01153	CDS	255				hypothetical protein
COOAFFBM_01154	CDS	318				hypothetical protein
COOAFFBM_01155	CDS	486				hypothetical protein
COOAFFBM_01156	CDS	180				hypothetical protein
COOAFFBM_01157	CDS	213				hypothetical protein
COOAFFBM_01158	CDS	156				hypothetical protein
COOAFFBM_01159	CDS	105				hypothetical protein
COOAFFBM_01160	CDS	585				hypothetical protein
COOAFFBM_01161	CDS	396				hypothetical protein
COOAFFBM_01162	CDS	771				hypothetical protein
COOAFFBM_01163	CDS	741	dnaC_2		COG1484	DNA replication protein DnaC
COOAFFBM_01164	CDS	1083				hypothetical protein
COOAFFBM_01165	CDS	219				hypothetical protein
COOAFFBM_01166	CDS	297				hypothetical protein
COOAFFBM_01167	CDS	201				hypothetical protein
COOAFFBM_01168	CDS	714	lexA_1	3.4.21.88		LexA repressor
COOAFFBM_01169	CDS	543				hypothetical protein
COOAFFBM_01170	CDS	777				hypothetical protein
COOAFFBM_01171	CDS	384				hypothetical protein
COOAFFBM_01172	CDS	714				hypothetical protein
COOAFFBM_01173	CDS	360				hypothetical protein
COOAFFBM_01174	CDS	210				hypothetical protein
COOAFFBM_01175	CDS	222	kilR			Killing protein KilR
COOAFFBM_01176	CDS	387				hypothetical protein
COOAFFBM_01177	CDS	2073	recE	3.1.11.-		Exodeoxyribonuclease 8
COOAFFBM_01178	CDS	297				hypothetical protein
COOAFFBM_01179	CDS	786				hypothetical protein
COOAFFBM_01180	CDS	681				hypothetical protein
COOAFFBM_01181	CDS	252				hypothetical protein
COOAFFBM_01182	CDS	1164	xerD_1			Tyrosine recombinase XerD
COOAFFBM_01183	CDS	555	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
COOAFFBM_01184	CDS	855	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
COOAFFBM_01185	CDS	615	dmsD		COG3381	Tat proofreading chaperone DmsD
COOAFFBM_01186	CDS	1194	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
COOAFFBM_01187	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
COOAFFBM_01188	CDS	1221	mlc_2		COG1940	Protein mlc
COOAFFBM_01189	CDS	894	hcaR_3			Hca operon transcriptional activator HcaR
COOAFFBM_01190	CDS	1254	ynfM			Inner membrane transport protein YnfM
COOAFFBM_01191	CDS	309	asr			Acid shock protein
COOAFFBM_01192	CDS	822				hypothetical protein
COOAFFBM_01193	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
COOAFFBM_01194	CDS	366	mdtJ		COG2076	Spermidine export protein MdtJ
COOAFFBM_01195	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
COOAFFBM_01196	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
COOAFFBM_01197	CDS	1533	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
COOAFFBM_01198	CDS	945	ydgH			Protein YdgH
COOAFFBM_01199	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
COOAFFBM_01200	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
COOAFFBM_01201	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
COOAFFBM_01202	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
COOAFFBM_01203	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
COOAFFBM_01204	CDS	930	tus			DNA replication terminus site-binding protein
COOAFFBM_01205	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
COOAFFBM_01206	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
COOAFFBM_01207	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
COOAFFBM_01208	CDS	1509	ydgA_1		COG5339	Protein YdgA
COOAFFBM_01209	CDS	1266	uidC			Membrane-associated protein UidC
COOAFFBM_01210	CDS	1374	uidB		COG2211	Glucuronide carrier protein
COOAFFBM_01211	CDS	1812	uidA	3.2.1.31	COG3250	Beta-glucuronidase
COOAFFBM_01212	CDS	579				hypothetical protein
COOAFFBM_01213	CDS	768	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
COOAFFBM_01214	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
COOAFFBM_01215	CDS	1593	malX		COG1263	PTS system maltose-specific EIICB component
COOAFFBM_01216	CDS	1173	malY		COG1168	Protein MalY
COOAFFBM_01217	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
COOAFFBM_01218	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
COOAFFBM_01219	CDS	216	cnu			OriC-binding nucleoid-associated protein
COOAFFBM_01220	CDS	441	ydgK			Inner membrane protein YdgK
COOAFFBM_01221	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
COOAFFBM_01222	CDS	579	rsxB_1	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
COOAFFBM_01223	CDS	2031	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
COOAFFBM_01224	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
COOAFFBM_01225	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
COOAFFBM_01226	CDS	696	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
COOAFFBM_01227	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
COOAFFBM_01228	CDS	201				hypothetical protein
COOAFFBM_01229	CDS	1503	dtpA		COG3104	Dipeptide and tripeptide permease A
COOAFFBM_01230	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
COOAFFBM_01231	CDS	861	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
COOAFFBM_01232	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
COOAFFBM_01233	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
COOAFFBM_01234	CDS	324	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
COOAFFBM_01235	CDS	1110	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
COOAFFBM_01236	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
COOAFFBM_01237	CDS	435	slyA		COG1846	Transcriptional regulator SlyA
COOAFFBM_01238	CDS	237				hypothetical protein
